what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1414006041648
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1414006041715
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1414006041775
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1414006041808
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1414006041836
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1414006041871
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1414006041905
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1414006041906
os,sysinfo,,,"macosx",1414006041958
arch,sysinfo,,,"x86",1414006041958
ws,sysinfo,,,"cocoa",1414006041958
locale,sysinfo,,,"en_US",1414006041958
processors,sysinfo,,,"8",1414006041958
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1414006041958
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1414006041958
java.specification.name,sysinfo,,,"Java Platform API Specification",1414006041958
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1414006041958
java.specification.version,sysinfo,,,"1.6",1414006041958
java.vendor,sysinfo,,,"Apple Inc.",1414006041958
java.version,sysinfo,,,"1.6.0_65",1414006041958
java.vm.info,sysinfo,,,"mixed mode",1414006041958
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1414006041958
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1414006041958
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1414006041958
java.vm.specification.version,sysinfo,,,"1.0",1414006041958
java.vm.vendor,sysinfo,,,"Apple Inc.",1414006041958
java.vm.version,sysinfo,,,"20.65-b04-462",1414006041958
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1414006042016
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1414006042397
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1414006042843
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1414006043186
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1414006043608
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1414006045564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414006046856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414006049466
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1414006063789
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1414006110814
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1414006111507
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1414006112143
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1414006112939
