what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411534352034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534355428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534356732
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411534372494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534372552
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411534375302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534441019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534506380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534517509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534518143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534532752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534536901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534537662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534550195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534556772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534557245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534564441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534569124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534570034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534587446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534592460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534593110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534598343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534601328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534611544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534615843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534616573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534630391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534641483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534642227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534643369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534644777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534654530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534660035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534665509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534688116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534693074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534693725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534705187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534710385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534710946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534722301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534727337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534728553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534742139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534745912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534746655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534767202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534772369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534773969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534792401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534796065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534805966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534809649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534810257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534888474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534898419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534938186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534947477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534948198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534958361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411534968101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534969390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535095758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411535106055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535106678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535230445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535234639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535246363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411535254498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535255734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535317404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411535325337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535326079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535712103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535734012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535784131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535823628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535835024
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411535862577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411535872876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411535879392
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411535881959
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411535891830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535945944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535975036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411536038060
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411536040775
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411536050470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411536138220
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411536140953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411536148834
