what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1409884491327
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1409884491521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409884513636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1409884520557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1409884520963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409884521897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409884525758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409884526678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1409884544225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1409884545364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1409884545847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1409884546937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409884548200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409884554203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409884562216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897311118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897314100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897316920
started,bundle,org.eclipse.mylyn.java.tasks,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.tasks",1409897322531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897323477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897324965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897332696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897342352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897364506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897372155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897380626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897391402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897396224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897397624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897404559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897425836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897434827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897444572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897453129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897461537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897473291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897474729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897477716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897484168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897491076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897495863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897503150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897514743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897520440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897526367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897541631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897545144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897550038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897555193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897559015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897563651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897568290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897571985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897579938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897585751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897592256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897599487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897604701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897614780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897616906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897624035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897629802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409897633364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409897637768
