what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411105908560
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411105910847
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411105964984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411105975531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411105979280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411105981275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411105986081
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411105988439
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411106002993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411106006655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411106140319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411108120605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411108200938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411108298881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411108793500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411109198549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411109203772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411109259281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411109277941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411109278167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411109306224
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411109339955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411109340026
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411109343662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411109365387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411109443822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411109469351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411109469468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411109535820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110083420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411110092430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110114592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110145679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411110188460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110229739
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411110319780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110319831
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411110346193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411110349942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411110359791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110387668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110427929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411110433015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411110474267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411110476592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411110553258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411110559106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411110568848
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411110573446
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411110587864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411110598945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411110603278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110649565
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411110683842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110683903
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1411110688776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110689228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110693550
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411110705393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110707874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110726356
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411110728167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110747971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110814820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411110828244
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411112519477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411112519673
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411112539851
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411112573029
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411112589901
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411112593261
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411112597979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411112676316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411112810653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411112817202
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411112860806
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411112865224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411112878907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411113053108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411113291526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411113294035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411140387068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411140458466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411142293304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411142306975
